,phase,w,mag
567,-1.5844079355961147,5675.718918918919,0.009876633385249222
568,-1.5844350218272678,5685.728828828829,0.00985928862604752
569,-1.5844621032308515,5695.738738738739,0.00984200516519355
570,-1.5844891798394516,5705.748648648649,0.009824782678720868
571,-1.5845162516854228,5715.758558558558,0.009807620844944314
572,-1.5845433188008748,5725.768468468468,0.009790519344439972
573,-1.5845703812176952,5735.778378378379,0.009773477860025366
574,-1.5845974389675386,5745.788288288289,0.009756496076739755
575,-1.5846244920818136,5755.798198198198,0.009739573681824694
576,-1.5846515405917325,5765.808108108108,0.009722710364704852
577,-1.5846785845282707,5775.818018018018,0.009705905816968946
578,-1.5847056239221724,5785.827927927928,0.009689159732350842
579,-1.584732658803967,5795.837837837838,0.009672471806711056
580,-1.5847596892039635,5805.847747747748,0.009655841738018188
581,-1.5847867151522668,5815.857657657658,0.00963926922633076
582,-1.5848137366787551,5825.867567567568,0.009622753973779019
583,-1.5848407538130982,5835.877477477477,0.009606295684547243
584,-1.5848677665847528,5845.887387387387,0.009589894064855902
585,-1.5848947750229818,5855.897297297298,0.009573548822944257
586,-1.5849217791568202,5865.907207207208,0.009557259669052905
587,-1.5849487790151116,5875.917117117117,0.009541026315406778
588,-1.5849757746265036,5885.927027027027,0.009524848476198073
589,-1.5850027660194244,5895.936936936937,0.009508725867569446
590,-1.5850297532221196,5905.946846846847,0.009492658207597487
591,-1.585056736262638,5915.9567567567565,0.009476645216276128
592,-1.585083715168811,5925.966666666667,0.009460686615500445
593,-1.5851106899683154,5935.976576576577,0.009444782129050538
594,-1.5851376606886063,5945.986486486487,0.009428931482575502
595,-1.5851646273569513,5955.996396396396,0.00941313440357769
596,-1.5851915900004399,5966.006306306306,0.009397390621397031
597,-1.5852185486459789,5976.016216216216,0.009381699867195649
598,-1.5852455033202741,5986.026126126127,0.009366061873942394
599,-1.5852724540498662,5996.036036036036,0.00935047637639781
600,-1.585299400861104,6006.045945945946,0.00933494311109902
601,-1.5853263437801572,6016.055855855856,0.009319461816344897
602,-1.585353282833023,6026.065765765766,0.009304032232181403
603,-1.5853802180455128,6036.0756756756755,0.009288654100386937
604,-1.585407149443274,6046.085585585586,0.009273327164457949
605,-1.5854340770517787,6056.095495495496,0.009258051169594663
606,-1.585461000896314,6066.105405405406,0.00924282586268695
607,-1.5854879210020199,6076.1153153153155,0.00922765099230032
608,-1.585514837393849,6086.125225225225,0.009212526308662055
609,-1.585541750096595,6096.135135135135,0.009197451563647504
610,-1.5855686591348876,6106.145045045046,0.009182426510766546
611,-1.5855955645331818,6116.154954954955,0.009167450905150032
612,-1.585622466315779,6126.164864864865,0.009152524503536543
613,-1.5856493645068108,6136.174774774775,0.009137647064259236
614,-1.5856762591302738,6146.184684684685,0.009122818347232713
615,-1.5857031502099719,6156.1945945945945,0.009108038113940127
616,-1.585730037769579,6166.204504504504,0.009093306127420384
617,-1.5857569218325802,6176.214414414415,0.009078622152255477
618,-1.585783802422364,6186.224324324325,0.009063985954557924
619,-1.5858106795620956,6196.2342342342345,0.009049397301958343
620,-1.5858375532748432,6206.244144144144,0.009034855963593106
621,-1.5858644235834978,6216.254054054054,0.009020361710092229
622,-1.5858912905108162,6226.263963963964,0.009005914313567261
623,-1.585918154079384,6236.273873873874,0.008991513547599245
624,-1.58594501431167,6246.283783783784,0.008977159187227081
625,-1.5859718712299762,6256.293693693694,0.008962851008935617
626,-1.585998724856471,6266.303603603604,0.008948588790644123
627,-1.5860255752131753,6276.3135135135135,0.008934372311694772
628,-1.586052422321975,6286.323423423423,0.008920201352841302
629,-1.5860792662046064,6296.333333333334,0.008906075696237616
630,-1.5861061068826758,6306.343243243244,0.008891995125426768
631,-1.5861329443776426,6316.3531531531535,0.008877959425329755
632,-1.586159778710836,6326.363063063063,0.008863968382234666
633,-1.5861866099034538,6336.372972972973,0.00885002178378581
634,-1.5862134379765476,6346.382882882883,0.00883611941897288
635,-1.586240262951043,6356.3927927927925,0.008822261078120456
636,-1.5862670848477387,6366.402702702703,0.008808446552877266
637,-1.5862939036872825,6376.412612612613,0.008794675636205944
638,-1.5863207194902136,6386.422522522523,0.008780948122372527
639,-1.5863475322769458,6396.4324324324325,0.008767263806936284
640,-1.5863743420677332,6406.442342342342,0.008753622486739523
641,-1.5864011488827396,6416.452252252252,0.008740023959897588
642,-1.5864279527419833,6426.462162162163,0.008726468025788808
643,-1.5864547536653608,6436.4720720720725,0.008712954485044699
644,-1.5864815516726531,6446.481981981982,0.008699483139540177
645,-1.5865083467835073,6456.491891891892,0.008686053792383847
646,-1.5865351390174551,6466.501801801802,0.008672666247908406
647,-1.5865619283939105,6476.5117117117115,0.008659320311661185
648,-1.5865887149321625,6486.521621621622,0.008646015790394677
649,-1.5866154986513858,6496.531531531532,0.008632752492057215
650,-1.5866422795706352,6506.541441441442,0.008619530225783755
651,-1.5866690577088438,6516.5513513513515,0.00860634880188672
652,-1.5866958330848464,6526.561261261261,0.008593208031846883
653,-1.5867226057173445,6536.571171171171,0.008580107728304432
654,-1.5867493756249316,6546.581081081081,0.00856704770504999
655,-1.5867761428260938,6556.5909909909915,0.008554027777015936
656,-1.5868029073392098,6566.600900900901,0.008541047760267458
657,-1.5868296691825268,6576.610810810811,0.00852810747199406
658,-1.5868564283742026,6586.620720720721,0.008515206730500902
659,-1.5868831849322727,6596.630630630631,0.008502345355200313
660,-1.586909938874671,6606.64054054054,0.008489523166603336
661,-1.5869366902192354,6616.650450450451,0.008476739986311477
662,-1.5869634389836664,6626.660360360361,0.00846399563700824
663,-1.586990185185592,6636.6702702702705,0.008451289942451137
664,-1.58701692884251,6646.68018018018,0.008438622727463468
665,-1.5870436699718342,6656.69009009009,0.008425993817926214
666,-1.5870704085908633,6666.7,0.008413403040770179
667,-1.5870971447167947,6676.7099099099105,0.008400850223968014
668,-1.5871238783667325,6686.71981981982,0.008388335196526379
669,-1.5871506095576733,6696.72972972973,0.008375857788478196
670,-1.5871773383065106,6706.73963963964,0.008363417830874976
671,-1.5872040646300436,6716.74954954955,0.008351015155779143
672,-1.5872307885449823,6726.759459459459,0.008338649596256539
673,-1.5872575100679216,6736.769369369369,0.008326320986368907
674,-1.5872842292153753,6746.77927927928,0.008314029161166431
675,-1.587310946003741,6756.7891891891895,0.008301773956680438
676,-1.5873376604493512,6766.799099099099,0.008289555209916125
677,-1.5873643725684181,6776.809009009009,0.00827737275884526
678,-1.587391082377074,6786.818918918919,0.00826522644239905
679,-1.5874177898913515,6796.828828828829,0.00825311610046109
680,-1.5874444951271973,6806.838738738739,0.008241041573860295
681,-1.5874711981004583,6816.848648648649,0.008229002704363894
682,-1.5874978988268975,6826.858558558559,0.008216999334670586
683,-1.5875245973221885,6836.868468468469,0.008205031308403657
684,-1.5875512936019092,6846.878378378378,0.008193098470104182
685,-1.587577987681551,6856.888288288288,0.008181200665224339
686,-1.5876046795765248,6866.898198198199,0.008169337740120682
687,-1.5876313693021455,6876.9081081081085,0.008157509542047565
688,-1.587658056873649,6886.918018018018,0.008145715919150592
689,-1.5876847423061686,6896.927927927928,0.008133956720460129
690,-1.5877114256147784,6906.937837837838,0.008122231795884808
691,-1.587738106814448,6916.947747747748,0.008110540996205215
692,-1.5877647859200692,6926.957657657657,0.008098884173067531
693,-1.5877914629464558,6936.967567567568,0.008087261178977278
694,-1.5878181379083267,6946.977477477478,0.008075671867293056
695,-1.5878448108203302,6956.987387387388,0.00806411609222042
696,-1.5878714816970259,6966.997297297297,0.008052593708805778
697,-1.587898150552897,6977.007207207207,0.008041104572930302
698,-1.587924817402351,6987.017117117117,0.008029648541303964
699,-1.5879514822596998,6997.0270270270275,0.0080182254714595
700,-1.587978145139196,7007.036936936937,0.008006835221746618
701,-1.5880048060550054,7017.046846846847,0.007995477651326077
702,-1.5880314650212106,7027.056756756757,0.007984152620163915
703,-1.5880581220518184,7037.066666666667,0.00797285998902566
704,-1.588084777160771,7047.076576576576,0.00796159961947067
705,-1.5881114303619246,7057.086486486487,0.007950371373846465
706,-1.588138081669061,7067.096396396397,0.007939175115283149
707,-1.5881647310958809,7077.106306306307,0.007928010707687765
708,-1.588191378656033,7087.116216216216,0.0079168780157389
709,-1.5882180243630588,7097.126126126126,0.007905776904881145
710,-1.5882446682304663,7107.136036036036,0.007894707241319722
711,-1.5882713102716461,7117.145945945946,0.007883668892015064
712,-1.5882979504999597,7127.155855855856,0.007872661724677533
713,-1.5883245889286697,7137.165765765766,0.007861685607762143
714,-1.588351225570973,7147.175675675676,0.007850740410463308
715,-1.588377860440007,7157.185585585586,0.007839826002709617
716,-1.5884044935488222,7167.195495495495,0.007828942255158757
717,-1.588431124910412,7177.205405405405,0.00781808903919236
718,-1.5884577545376974,7187.215315315316,0.00780726622691095
719,-1.588484382443535,7197.225225225226,0.007796473691128957
720,-1.5885110086407,7207.235135135135,0.007785711305369649
721,-1.5885376331419183,7217.245045045045,0.00777497894386032
722,-1.588564255959837,7227.254954954955,0.007764276481527324
723,-1.5885908771070374,7237.264864864865,0.007753603793991205
724,-1.5886174965960433,7247.274774774775,0.00774296075756194
725,-1.5886441144393089,7257.284684684685,0.007732347249234114
726,-1.588670730649209,7267.294594594595,0.0077217631466822536
727,-1.588697345238079,7277.304504504505,0.0077112083282560055
